process_id,arrival_time,cpu_time1,cpu_time2,io_time
1,153,16,11,10
2,321,8,16,6
3,849,19,6,8
4,338,16,12,4
5,616,2,17,2
6,961,19,4,2
7,603,19,1,7
8,708,19,14,8
9,837,20,9,8
10,449,17,20,0
11,280,10,5,4
12,70,9,3,2
13,619,9,20,10
14,446,5,20,9
15,461,15,15,9
16,518,7,4,4
17,610,1,17,1
18,609,19,7,7
19,506,14,12,8
20,281,17,12,4
21,795,4,3,9
22,130,13,17,5
23,359,16,16,3
24,152,7,8,7
25,978,6,3,7
26,744,8,3,6
27,978,6,18,3
28,407,5,8,2
29,242,20,15,3
30,932,9,14,2
31,518,10,12,4
32,903,16,14,2
33,518,12,8,9
34,927,17,5,6
35,979,14,3,8
36,53,3,11,0
37,884,16,16,0
38,971,17,4,2
39,95,17,8,5
40,572,11,19,6
41,404,20,13,0
42,80,15,12,1
43,928,9,15,1
44,512,19,5,5
45,903,9,7,1
46,204,6,19,3
47,470,19,12,5
48,951,15,7,7
49,611,3,9,6
50,338,15,13,3
51,381,2,19,5
52,58,11,12,5
53,656,12,5,6
54,207,13,14,2
55,150,16,20,7
56,547,13,9,4
57,563,19,5,4
58,106,15,15,5
59,390,11,3,0
60,449,11,16,5
61,314,18,8,9
62,660,7,18,10
63,413,15,20,1
64,999,3,11,0
65,459,15,17,3
66,84,8,1,2
67,286,17,12,7
68,478,14,19,7
69,3,2,19,1
70,516,19,14,6
71,13,17,13,6
72,364,7,3,8
73,150,9,2,4
74,466,5,19,0
75,589,14,19,5
76,77,1,16,4
77,449,8,4,9
78,919,4,17,2
79,743,14,7,4
80,542,14,4,3
81,887,7,16,7
82,986,10,5,0
83,513,7,4,0
84,760,7,6,5
85,741,11,11,8
86,9,13,12,9
87,416,3,13,3
88,378,19,8,0
89,17,6,8,7
90,491,12,1,9
91,23,5,13,10
92,972,19,14,0
93,687,2,2,7
94,500,7,8,2
95,949,6,14,7
96,376,8,9,1
97,590,18,12,6
98,376,16,16,4
99,178,9,18,1
100,522,16,4,3
101,229,17,16,3
102,591,5,8,2
103,478,10,17,6
104,511,5,2,2
105,955,14,12,1
106,655,17,16,2
107,903,6,14,9
108,725,1,7,6
109,545,12,9,5
110,516,2,20,3
111,777,9,1,7
112,923,3,11,9
113,15,1,9,4
114,498,6,1,2
115,702,19,2,0
116,904,19,18,4
117,20,9,8,6
118,942,16,1,10
119,144,8,15,8
120,824,8,3,1
121,304,6,1,9
122,281,2,12,6
123,584,12,15,5
124,543,3,7,0
125,361,10,20,4
126,885,1,6,2
127,961,5,4,8
128,124,7,18,6
129,596,8,7,4
130,974,14,1,10
131,598,5,9,2
132,773,2,16,2
133,233,6,7,0
134,205,10,20,0
135,8,4,3,7
136,983,2,16,8
137,767,20,15,4
138,820,15,10,1
139,539,16,2,6
140,650,12,11,9
141,800,15,16,4
142,860,15,17,6
143,574,8,16,2
144,492,17,5,2
145,506,6,13,0
146,341,7,14,9
147,942,1,15,5
148,136,14,20,9
149,366,8,13,5
150,756,10,17,1
151,80,14,14,10
152,448,11,9,8
153,545,5,15,3
154,162,7,8,9
155,471,1,13,9
156,140,13,8,5
157,861,8,11,1
158,860,6,15,10
159,1000,20,3,9
160,121,9,4,8
161,821,14,4,9
162,172,13,9,9
163,380,19,9,6
164,911,6,12,2
165,370,11,1,9
166,320,7,3,7
167,7,2,12,10
168,81,2,6,3
169,953,10,7,9
170,667,17,19,6
171,391,14,18,5
172,451,7,9,9
173,159,12,16,0
174,330,15,12,6
175,973,16,15,7
176,731,2,3,6
177,706,20,3,8
178,546,4,19,5
179,21,11,14,6
180,324,16,10,8
181,112,3,15,3
